window_seconds,n_windows,pooled_mae,pooled_rmse,pooled_r2,pooled_pearson,mean_subject_r2,median_subject_r2,std_subject_r2,mean_subject_pearson
8,18118,27.352364775042133,32.45270910184917,0.07889422985648842,0.3277454055439169,-0.5634118589535348,-0.188692577056634,0.9134215227158294,0.2358841688912857
16,9051,26.847465202837697,31.82049136069286,0.11256122308313565,0.3720324811231376,-0.5516818062676713,-0.14463892604670092,1.019467029057491,0.26066627827228456
30,4820,25.81918244739512,31.216242218637266,0.14155829950901988,0.4129933393358744,-0.48216998155521357,-0.15898521589133863,1.0614698741285014,0.2835483623528737
