mae,rmse,r2,pearson,subject,train_trial,test_trial,n_test
28.301520872769633,33.88011644635411,-0.08762841742961869,0.2689038765679069,1,1,2,909
27.32303814780033,31.68230797215726,-0.03422026756276897,0.26304767819439245,1,2,1,913
25.994201552481524,31.212880894933605,0.01081511286437431,0.2867118595646406,2,1,2,907
27.637766015698443,32.972449742924454,-0.0969408543034771,0.16567126303403643,2,2,1,922
33.449906514297176,40.82199050937309,-0.18419422235640415,0.3467695618922856,3,1,2,918
29.15484292653872,35.161690199155174,-0.19537179005385563,0.36551382530892507,3,2,1,913
26.694267033590922,31.503489790046455,-0.03676894535799091,0.22945976185523828,4,1,2,901
27.46396589642501,32.24606857261571,-0.05952787471098708,0.23015559655671228,4,2,1,866
29.641795702206025,35.382146629746956,-0.10765417574866643,0.09947921051732787,5,1,2,905
28.088607380607325,32.93547198466209,-0.1711065658952533,0.13696156999008519,5,2,1,905
27.851563110697644,32.2142427410524,-0.3580163237594367,0.19821859142942969,6,1,2,916
25.296925037356964,32.129846602336094,-0.00790557330734587,0.2838264837121582,6,2,1,901
26.60366271488001,32.516012234196005,-0.1777315251496785,0.3926977910575768,7,1,2,909
30.496376552313393,38.784229407395365,-0.14307625418501035,0.34725602430545954,7,2,1,911
13.521669970182113,22.82053256468692,-0.111982081636538,0.05794927353912699,8,1,2,903
13.592079007362383,19.978269275576654,-0.32751775682879813,-0.024059273049051838,8,2,1,903
8.109706210168675,18.499648501841214,-0.1061710941427223,0.08917916969483033,9,1,2,905
10.772268586190044,14.35725161121191,-1.0927114993232419,0.15547808068463373,9,2,1,903
12.444736431544328,23.11677128634169,-0.15680911465119718,0.042881210113416876,10,1,2,905
16.93764412824251,21.229915112730314,-1.512581673727361,0.05759264635729877,10,2,1,903
