subject,calib_trial,test_trial,n_calib,n_test,raw_mae,raw_r2,raw_pearson,calibrated_mae,calibrated_r2,calibrated_pearson,mae_improvement,r2_improvement
1,1,2,913,909,26.801816610537756,-0.002676657677066263,0.27800316536785186,28.704931239817682,-0.07011066173924907,0.27800316536785197,-1.9031146292799264,-0.0674340040621828
1,2,1,909,913,26.478434424510798,-0.023533109725067503,0.24805431966727223,29.319508140414424,-0.09256531951945335,0.24805431966727226,-2.841073715903626,-0.06903220979438585
2,1,2,922,907,28.756361466156974,-0.121427882817708,0.40749359132156404,25.693208105767305,0.12805263301576275,0.40749359132156404,3.06315336038967,0.24948051583347075
2,2,1,907,922,28.6044316288395,-0.10963937904869647,0.25003086563845733,25.63358946129715,0.027924693388748367,0.2500736752137898,2.970842167542351,0.13756407243744484
3,1,2,913,918,29.89517766277205,0.16405287985195305,0.43049172905725674,32.01143793878419,0.0068929811053712875,0.43049172905725674,-2.1162602760121416,-0.15715989874658176
3,2,1,918,913,32.50846764986365,-0.3841579199601024,0.3583309907119213,30.085613969425857,-0.16404886792850593,0.3583309907119213,2.4228536804377896,0.22010905203159647
4,1,2,866,901,28.69325971722241,-0.31986941106442757,0.2751073376401579,26.006462899690007,0.055358895446915524,0.275107337640158,2.6867968175324037,0.3752283065113431
4,2,1,901,866,28.267952121066067,-0.2345505495902307,0.21360776871478002,27.130591809115703,0.027211120504204822,0.21360776871478004,1.1373603119503635,0.2617616700944355
5,1,2,905,905,28.00103230967312,0.018660674109694186,0.2615783610367058,28.42183052842886,0.04780541763860424,0.26157836103670584,-0.4207982187557384,0.029144743528910055
5,2,1,905,905,25.9467071570185,-0.06376967514813692,0.22730077445786434,26.23464946198601,0.026275430483419404,0.22730077445786437,-0.2879423049675083,0.09004510563155632
6,1,2,901,916,22.749123979826855,-0.014614625079139021,0.2629116285672176,24.905112376064064,-0.03965859140389805,0.26291162856721767,-2.155988396237209,-0.025043966324759026
6,2,1,916,901,26.384264328917116,-0.005675092121980141,0.23975579553651752,26.11017536506644,-0.02283515447251583,0.23975579553651752,0.2740889638506765,-0.017160062350535688
7,1,2,911,909,37.315854764867986,-1.1268993408163732,0.38087506385288955,28.4082704318106,-0.20957274096795508,0.38087506385288955,8.907584333057386,0.9173265998484181
7,2,1,909,911,31.234155680264813,-0.04749087189941781,0.3861068219826572,31.044554408043233,-0.0968679513291697,0.38610682198265717,0.18960127222158007,-0.04937707942975189
8,1,2,903,903,24.45896080231345,-0.8034708826017629,0.05832077175007963,13.073757228100797,-0.032917058971938085,0.05832077175007976,11.385203574212651,0.7705538236298248
8,2,1,903,903,21.542676298487653,-1.1102688024728211,0.04454273661757913,12.92793515106906,-0.05249482236314962,0.044542736617578876,8.614741147418593,1.0577739801096715
9,1,2,903,905,27.434420136554344,-2.046712176089636,0.035408322289885254,7.559307940673136,-0.053805747661660686,0.034616144997862336,19.875112195881208,1.9929064284279754
9,2,1,905,903,24.00271964883405,-5.985280053833862,0.12208318664713698,7.239135024689312,-0.17880639491626793,0.12208318664713752,16.763584624144737,5.806473658917595
10,1,2,903,905,24.73607960817664,-0.688379654837842,0.0001971243820851603,11.857643746308248,-0.14202980703043266,0.00019712438208415372,12.878435861868393,0.5463498478074094
10,2,1,905,903,23.128141185084132,-2.588536724631727,0.009901184993765414,12.852474108969957,-0.37063382043192195,0.009901184993766049,10.275667076114175,2.2179029041998053
