recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
01M_1,1,1,4.0,6.449301496838222,62.2698950210488,32.14324640133868,27.24095916748047,71.30854629735887,71.3322285822612,100.0,27.24095916748047,,,0
01M_1,1,1,12.0,6.449301496838222,90.54877176328009,64.02560377552687,88.43865966796875,71.30854629735887,71.3322285822612,100.0,57.83980941772461,61.19770050048826,61.19770050048826,0
01M_1,1,1,20.0,18.12692469220182,85.18161935951846,92.57383483224352,85.50843048095703,71.30854629735887,71.3322285822612,100.0,67.06268310546875,29.133735656738278,29.133735656738278,1
01M_1,1,1,28.0,28.34686894262107,87.15117258177557,84.89272575333588,86.68182373046875,71.30854629735887,71.3322285822612,100.0,71.96746826171875,17.53923645019532,17.53923645019532,0
01M_1,1,1,36.0,37.29109147269439,84.92443457071946,78.85268213147121,80.09408569335938,71.30854629735887,71.3322285822612,100.0,73.59279174804688,-2.386032867431648,10.394941711425782,1
01M_1,1,1,44.0,45.11883639059735,89.09257343559582,72.15482990364806,72.2748031616211,71.30854629735887,71.3322285822612,100.0,73.37312698364258,-4.6288619995117095,5.751682608468189,2
01M_1,1,1,52.0,51.96946989102006,78.46231980044998,75.19524632552056,84.8404541015625,71.30854629735887,71.3322285822612,100.0,75.01131657191685,-1.3343391418457136,4.82344382149833,0
01M_1,1,1,60.0,57.96496154913181,78.47292096283746,80.95835618217896,81.49836730957031,71.30854629735887,71.3322285822612,100.0,75.82219791412354,1.6778495788574233,3.7562167758033356,1
01M_1,1,1,68.0,63.212055882855765,83.15339562730226,84.69421206615593,87.78116607666016,71.30854629735887,71.3322285822612,100.0,83.389723777771,4.317700195312493,-0.45233526683988784,0
01M_1,1,1,76.0,67.80417284623242,59.01882553264239,53.03696738255268,57.5302963256836,71.30854629735887,71.3322285822612,100.0,79.52617835998535,-7.564767456054676,-2.0663301377069345,1
01M_1,1,1,84.0,71.82307109050416,83.8172956086026,67.16237490140044,71.46755981445312,71.30854629735887,71.3322285822612,100.0,77.77106952667236,-6.034329223632799,-2.0969260987781344,0
01M_1,1,1,92.0,75.34030360583935,81.30520406459968,84.11784750565316,88.83284759521484,71.30854629735887,71.3322285822612,100.0,78.03994750976562,1.7092308044433666,-0.22038759504045943,0
01M_1,1,1,100.0,78.41849166013102,73.13779170524793,78.14359535034323,74.38260650634766,71.30854629735887,71.3322285822612,100.0,77.32601261138916,6.792221832275395,-0.30507977803548064,1
01M_1,1,1,108.0,81.11243971624383,76.08035261832843,78.68840511717377,72.90771484375,71.30854629735887,71.3322285822612,100.0,77.40512657165527,-1.0129776000976596,-1.2144722711472329,2
01M_1,1,1,116.0,83.47011117784135,80.01005427399431,83.52218805445149,88.27861785888672,71.30854629735887,71.3322285822612,100.0,77.8348970413208,-0.31375808715820797,0.4882942381359299,0
01M_1,1,1,124.0,85.53348233610049,81.23413989512285,79.48165842968481,81.30877685546875,71.30854629735887,71.3322285822612,100.0,77.8111982345581,3.6149414062500105,1.170298894246423,1
01M_1,1,1,132.0,87.33928972109165,99.02157153386192,72.3852796643755,84.10116577148438,71.30854629735887,71.3322285822612,100.0,77.35119819641113,2.6610511779785133,2.762673695882162,0
01M_1,1,1,140.0,88.9196841637666,77.76778628238144,74.61617060316203,81.76434326171875,71.30854629735887,71.3322285822612,100.0,80.38045406341553,-1.6750434875488283,1.0067677270798423,1
01M_1,1,1,148.0,90.30280321355949,86.8782868679331,90.44877356106628,88.7688980102539,71.30854629735887,71.3322285822612,100.0,82.54312133789062,2.004354095458984,0.7508517674037368,0
01M_1,1,1,156.0,91.51327210299826,86.96032666659379,88.57465096610524,85.43705749511719,71.30854629735887,71.3322285822612,100.0,82.11864757537842,1.1012229919433547,1.6659123556954514,1
01M_1,1,1,164.0,92.5726421785666,89.41968653352988,75.46314497262999,82.14857482910156,71.30854629735887,71.3322285822612,100.0,83.08939361572266,-0.21791458129880206,0.8395447503952753,2
01M_1,1,1,172.0,93.49977460369657,75.5378564907505,79.26789495603754,75.57157135009766,71.30854629735887,71.3322285822612,100.0,83.42237567901611,-4.288046264648421,-0.8778345925467373,3
01M_1,1,1,180.0,94.31117616538984,69.49714827932542,87.22386294774282,85.75825500488281,71.30854629735887,71.3322285822612,100.0,83.10733032226562,-0.5613410949707052,-0.16286631992884373,0
01M_1,1,1,188.0,95.0212931632136,73.29008629312796,76.14062895299276,79.40034484863281,71.30854629735887,71.3322285822612,100.0,82.86877632141113,0.1941993713378906,-0.6644839332217218,1
